Sales Person,Country,Product,Date,Amount,Boxes Shipped,Month,Year,Day
Wilone O'Kielt,USA,Milk Bars,2022-07-15,50120,93,July,2022,Friday
Andria Kimpton,India,Organic Choco Syrup,2022-01-18,39550,134,January,2022,Tuesday
Madelene Upcott,UK,Fruit & Nut Bars,2022-01-05,85120,189,January,2022,Wednesday
Curtice Advani,Australia,50% Dark Bites,2022-06-29,5040,232,June,2022,Wednesday
Brien Boise,Canada,Raspberry Choco,2022-06-14,28000,45,June,2022,Tuesday
Gunar Cockshoot,India,Mint Chip Choco,2022-08-08,42560,67,August,2022,Monday
Dennison Crosswaite,India,Mint Chip Choco,2022-03-23,135730,138,March,2022,Wednesday
Barr Faughny,India,Caramel Stuffed Bars,2022-01-04,65660,99,January,2022,Tuesday
Brien Boise,India,Milk Bars,2022-02-22,135030,251,February,2022,Tuesday
Beverie Moffet,UK,Spicy Special Slims,2022-02-17,86800,252,February,2022,Thursday
Barr Faughny,USA,Almond Choco,2022-02-03,3850,78,February,2022,Thursday
Van Tuxwell,Canada,Raspberry Choco,2022-03-17,12670,130,March,2022,Thursday
Wilone O'Kielt,Australia,Baker's Choco Chips,2022-01-25,29610,154,January,2022,Tuesday
Brien Boise,Australia,Milk Bars,2022-07-27,19810,52,July,2022,Wednesday
Husein Augar,Australia,Fruit & Nut Bars,2022-01-28,79590,53,January,2022,Friday
Madelene Upcott,Australia,Organic Choco Syrup,2022-07-05,107940,50,July,2022,Tuesday
Van Tuxwell,India,White Choc,2022-03-15,18970,44,March,2022,Tuesday
Gunar Cockshoot,Canada,After Nines,2022-08-04,27440,200,August,2022,Thursday
Jan Morforth,USA,Fruit & Nut Bars,2022-06-27,43820,361,June,2022,Monday
Jan Morforth,Canada,After Nines,2022-07-13,45150,172,July,2022,Wednesday
Barr Faughny,New Zealand,Manuka Honey Choco,2022-02-24,54740,239,February,2022,Thursday
Karlen McCaffrey,New Zealand,85% Dark Bars,2022-06-28,60690,55,June,2022,Tuesday
Oby Sorrel,Australia,85% Dark Bars,2022-06-30,69440,27,June,2022,Thursday
Curtice Advani,Canada,Choco Coated Almonds,2022-08-18,58590,7,August,2022,Thursday
Kaine Padly,India,70% Dark Bites,2022-01-24,121730,301,January,2022,Monday
Beverie Moffet,USA,White Choc,2022-03-11,52920,134,March,2022,Friday
Ches Bonnell,New Zealand,After Nines,2022-06-23,57050,350,June,2022,Thursday
Husein Augar,India,Spicy Special Slims,2022-08-22,24920,33,August,2022,Monday
Gunar Cockshoot,Canada,50% Dark Bites,2022-01-04,30240,23,January,2022,Tuesday
Curtice Advani,India,Milk Bars,2022-04-05,34370,201,April,2022,Tuesday
Beverie Moffet,India,Milk Bars,2022-04-15,18690,323,April,2022,Friday
Husein Augar,Australia,White Choc,2022-05-11,31710,220,May,2022,Wednesday
Andria Kimpton,Canada,Manuka Honey Choco,2022-07-21,48580,488,July,2022,Thursday
Jan Morforth,New Zealand,Orange Choco,2022-02-11,12250,84,February,2022,Friday
Andria Kimpton,Canada,Smooth Sliky Salty,2022-07-08,11550,79,July,2022,Friday
Gunar Cockshoot,UK,Raspberry Choco,2022-08-11,68110,344,August,2022,Thursday
Husein Augar,New Zealand,After Nines,2022-08-04,64330,7,August,2022,Thursday
Andria Kimpton,New Zealand,Orange Choco,2022-06-14,81690,88,June,2022,Tuesday
Dennison Crosswaite,UK,Baker's Choco Chips,2022-01-17,22750,275,January,2022,Monday
Jehu Rudeforth,Canada,Orange Choco,2022-06-23,38570,512,June,2022,Thursday
Jehu Rudeforth,UK,Smooth Sliky Salty,2022-08-24,14630,113,August,2022,Wednesday
Andria Kimpton,UK,Caramel Stuffed Bars,2022-06-07,79240,275,June,2022,Tuesday
Jan Morforth,UK,White Choc,2022-06-22,87990,47,June,2022,Wednesday
Dotty Strutley,USA,Fruit & Nut Bars,2022-07-13,28980,276,July,2022,Wednesday
Kelci Walkden,UK,Choco Coated Almonds,2022-05-24,95060,212,May,2022,Tuesday
Gunar Cockshoot,New Zealand,After Nines,2022-08-09,71750,145,August,2022,Tuesday
Kaine Padly,Canada,85% Dark Bars,2022-04-06,17290,31,April,2022,Wednesday
Jan Morforth,New Zealand,Manuka Honey Choco,2022-07-28,15890,271,July,2022,Thursday
Gunar Cockshoot,New Zealand,Raspberry Choco,2022-08-24,6300,52,August,2022,Wednesday
Van Tuxwell,Australia,99% Dark & Pure,2022-01-17,1120,128,January,2022,Monday
Curtice Advani,USA,Drinking Coco,2022-02-07,51870,142,February,2022,Monday
Brien Boise,Australia,Spicy Special Slims,2022-05-09,62230,256,May,2022,Monday
Mallorie Waber,New Zealand,85% Dark Bars,2022-06-06,77140,106,June,2022,Monday
Wilone O'Kielt,USA,Choco Coated Almonds,2022-06-06,94570,6,June,2022,Monday
Beverie Moffet,New Zealand,Organic Choco Syrup,2022-05-24,66780,226,May,2022,Tuesday
Gunar Cockshoot,UK,50% Dark Bites,2022-01-13,21070,121,January,2022,Thursday
Marney O'Breen,USA,Raspberry Choco,2022-05-23,60690,151,May,2022,Monday
Jehu Rudeforth,UK,White Choc,2022-06-29,18620,284,June,2022,Wednesday
Jehu Rudeforth,New Zealand,85% Dark Bars,2022-03-11,69720,89,March,2022,Friday
Dotty Strutley,USA,85% Dark Bars,2022-04-25,102200,508,April,2022,Monday
Rafaelita Blaksland,Australia,Smooth Sliky Salty,2022-05-30,39690,243,May,2022,Monday
Curtice Advani,India,Manuka Honey Choco,2022-05-23,15470,170,May,2022,Monday
Mallorie Waber,USA,Peanut Butter Cubes,2022-05-23,11620,18,May,2022,Monday
Van Tuxwell,Canada,Peanut Butter Cubes,2022-06-24,63420,282,June,2022,Friday
Kelci Walkden,New Zealand,Smooth Sliky Salty,2022-03-11,106330,277,March,2022,Friday
Rafaelita Blaksland,USA,Smooth Sliky Salty,2022-07-27,150570,212,July,2022,Wednesday
Rafaelita Blaksland,USA,White Choc,2022-08-16,47040,126,August,2022,Tuesday
Roddy Speechley,Canada,Smooth Sliky Salty,2022-03-07,93380,11,March,2022,Monday
Curtice Advani,New Zealand,After Nines,2022-04-05,79590,30,April,2022,Tuesday
Camilla Castle,India,85% Dark Bars,2022-05-04,90230,51,May,2022,Wednesday
Ches Bonnell,USA,Choco Coated Almonds,2022-01-04,145250,92,January,2022,Tuesday
Marney O'Breen,Australia,Baker's Choco Chips,2022-01-13,58100,101,January,2022,Thursday
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,2022-07-11,64260,98,July,2022,Monday
Kaine Padly,Australia,Mint Chip Choco,2022-05-17,44030,159,May,2022,Tuesday
Camilla Castle,New Zealand,Peanut Butter Cubes,2022-07-21,15820,62,July,2022,Thursday
Curtice Advani,Canada,Organic Choco Syrup,2022-02-22,7910,22,February,2022,Tuesday
Jan Morforth,India,99% Dark & Pure,2022-05-23,91000,187,May,2022,Monday
Rafaelita Blaksland,Canada,Drinking Coco,2022-07-12,98840,200,July,2022,Tuesday
Jan Morforth,UK,Orange Choco,2022-06-15,37800,201,June,2022,Wednesday
Barr Faughny,New Zealand,50% Dark Bites,2022-06-23,45570,308,June,2022,Thursday
Curtice Advani,Australia,Eclairs,2022-03-25,57960,55,March,2022,Friday
Jan Morforth,India,Caramel Stuffed Bars,2022-07-04,840,153,July,2022,Monday
Andria Kimpton,UK,White Choc,2022-05-12,90370,101,May,2022,Thursday
Camilla Castle,New Zealand,Raspberry Choco,2022-04-04,47460,137,April,2022,Monday
Madelene Upcott,Australia,Orange Choco,2022-04-15,67130,398,April,2022,Friday
Roddy Speechley,Canada,Eclairs,2022-03-08,62370,88,March,2022,Tuesday
Karlen McCaffrey,India,White Choc,2022-01-17,74830,232,January,2022,Monday
Wilone O'Kielt,India,Mint Chip Choco,2022-08-22,13090,51,August,2022,Monday
Andria Kimpton,UK,99% Dark & Pure,2022-07-25,11550,66,July,2022,Monday
Marney O'Breen,UK,50% Dark Bites,2022-06-14,29890,124,June,2022,Tuesday
Ches Bonnell,India,Choco Coated Almonds,2022-04-05,96250,78,April,2022,Tuesday
Madelene Upcott,UK,Raspberry Choco,2022-08-26,73570,341,August,2022,Friday
Wilone O'Kielt,Australia,50% Dark Bites,2022-08-03,100310,114,August,2022,Wednesday
Gigi Bohling,Canada,White Choc,2022-07-11,65870,4,July,2022,Monday
Wilone O'Kielt,New Zealand,Eclairs,2022-03-11,33110,22,March,2022,Friday
Brien Boise,UK,Peanut Butter Cubes,2022-01-10,153300,30,January,2022,Monday
Roddy Speechley,UK,Baker's Choco Chips,2022-04-04,140280,351,April,2022,Monday
Karlen McCaffrey,Australia,50% Dark Bites,2022-01-17,66780,708,January,2022,Monday
Marney O'Breen,New Zealand,Organic Choco Syrup,2022-07-08,86240,50,July,2022,Friday
Jan Morforth,UK,Organic Choco Syrup,2022-04-12,11970,356,April,2022,Tuesday
Rafaelita Blaksland,Canada,Fruit & Nut Bars,2022-08-24,4830,185,August,2022,Wednesday
Ches Bonnell,UK,Choco Coated Almonds,2022-06-07,16870,236,June,2022,Tuesday
Gunar Cockshoot,Canada,Almond Choco,2022-07-28,13090,30,July,2022,Thursday
Husein Augar,USA,99% Dark & Pure,2022-02-21,95340,111,February,2022,Monday
Dennison Crosswaite,Canada,Mint Chip Choco,2022-04-08,16940,289,April,2022,Friday
Brien Boise,UK,Manuka Honey Choco,2022-06-28,700,103,June,2022,Tuesday
Van Tuxwell,UK,Baker's Choco Chips,2022-03-24,24430,20,March,2022,Thursday
Barr Faughny,Australia,Caramel Stuffed Bars,2022-07-29,29330,55,July,2022,Friday
Dennison Crosswaite,USA,Eclairs,2022-05-25,20440,90,May,2022,Wednesday
Gigi Bohling,Australia,Raspberry Choco,2022-03-30,65240,303,March,2022,Wednesday
Dennison Crosswaite,USA,Organic Choco Syrup,2022-07-18,126560,126,July,2022,Monday
Beverie Moffet,Canada,Orange Choco,2022-05-10,87220,109,May,2022,Tuesday
Mallorie Waber,Australia,Choco Coated Almonds,2022-03-18,157500,92,March,2022,Friday
Ches Bonnell,India,Caramel Stuffed Bars,2022-06-15,68390,56,June,2022,Wednesday
Van Tuxwell,Canada,50% Dark Bites,2022-05-12,136850,58,May,2022,Thursday
Kelci Walkden,New Zealand,Baker's Choco Chips,2022-06-23,29120,110,June,2022,Thursday
Beverie Moffet,India,Spicy Special Slims,2022-04-21,33390,171,April,2022,Thursday
Gigi Bohling,Australia,Almond Choco,2022-08-17,9100,117,August,2022,Wednesday
Rafaelita Blaksland,New Zealand,Eclairs,2022-02-07,194810,51,February,2022,Monday
Kelci Walkden,Canada,Smooth Sliky Salty,2022-03-17,80990,118,March,2022,Thursday
Jan Morforth,India,Baker's Choco Chips,2022-08-01,137270,79,August,2022,Monday
Jehu Rudeforth,Australia,Milk Bars,2022-03-18,86590,29,March,2022,Friday
Gigi Bohling,Canada,Fruit & Nut Bars,2022-06-14,57820,103,June,2022,Tuesday
Beverie Moffet,UK,Eclairs,2022-04-22,84630,155,April,2022,Friday
Marney O'Breen,New Zealand,Eclairs,2022-01-18,49140,31,January,2022,Tuesday
Husein Augar,Australia,99% Dark & Pure,2022-08-26,30870,128,August,2022,Friday
Gunar Cockshoot,New Zealand,Fruit & Nut Bars,2022-06-10,92050,419,June,2022,Friday
Curtice Advani,Canada,70% Dark Bites,2022-01-31,23030,7,January,2022,Monday
Kelci Walkden,New Zealand,Manuka Honey Choco,2022-04-08,13580,106,April,2022,Friday
Dotty Strutley,Australia,Baker's Choco Chips,2022-06-07,36050,68,June,2022,Tuesday
Barr Faughny,Australia,85% Dark Bars,2022-02-10,84980,44,February,2022,Thursday
Beverie Moffet,Australia,50% Dark Bites,2022-05-16,7000,457,May,2022,Monday
Gunar Cockshoot,India,Baker's Choco Chips,2022-03-18,21910,524,March,2022,Friday
Van Tuxwell,Australia,50% Dark Bites,2022-07-13,6440,137,July,2022,Wednesday
Oby Sorrel,USA,Manuka Honey Choco,2022-07-25,43400,86,July,2022,Monday
Van Tuxwell,Canada,Choco Coated Almonds,2022-08-19,22820,296,August,2022,Friday
Karlen McCaffrey,Canada,70% Dark Bites,2022-06-24,77140,597,June,2022,Friday
Kelci Walkden,Canada,Fruit & Nut Bars,2022-06-20,8260,149,June,2022,Monday
Camilla Castle,India,99% Dark & Pure,2022-08-02,2030,207,August,2022,Tuesday
Madelene Upcott,New Zealand,70% Dark Bites,2022-02-22,133560,93,February,2022,Tuesday
Mallorie Waber,New Zealand,Orange Choco,2022-02-01,65100,23,February,2022,Tuesday
Jan Morforth,Canada,70% Dark Bites,2022-02-14,58940,305,February,2022,Monday
Kelci Walkden,Australia,Milk Bars,2022-02-24,79100,125,February,2022,Thursday
Dennison Crosswaite,India,Orange Choco,2022-03-18,7840,129,March,2022,Friday
Husein Augar,UK,Eclairs,2022-08-30,17500,252,August,2022,Tuesday
Gigi Bohling,USA,Peanut Butter Cubes,2022-05-09,2800,75,May,2022,Monday
Wilone O'Kielt,USA,Smooth Sliky Salty,2022-01-18,5040,87,January,2022,Tuesday
Curtice Advani,India,White Choc,2022-07-04,71540,342,July,2022,Monday
Oby Sorrel,New Zealand,Spicy Special Slims,2022-06-03,16170,13,June,2022,Friday
Beverie Moffet,New Zealand,Peanut Butter Cubes,2022-02-23,108220,30,February,2022,Wednesday
Dotty Strutley,New Zealand,99% Dark & Pure,2022-05-09,107240,203,May,2022,Monday
Kelci Walkden,India,70% Dark Bites,2022-06-06,36400,106,June,2022,Monday
Kelci Walkden,India,Drinking Coco,2022-07-04,75320,234,July,2022,Monday
Brien Boise,New Zealand,Drinking Coco,2022-06-06,15820,100,June,2022,Monday
Dotty Strutley,Australia,Almond Choco,2022-05-13,14560,91,May,2022,Friday
Wilone O'Kielt,New Zealand,Organic Choco Syrup,2022-01-31,20160,277,January,2022,Monday
Ches Bonnell,New Zealand,Caramel Stuffed Bars,2022-06-30,75880,42,June,2022,Thursday
Barr Faughny,Canada,Manuka Honey Choco,2022-08-25,34020,249,August,2022,Thursday
Gigi Bohling,New Zealand,Smooth Sliky Salty,2022-01-10,7000,97,January,2022,Monday
Brien Boise,USA,Manuka Honey Choco,2022-08-22,19040,8,August,2022,Monday
Roddy Speechley,New Zealand,85% Dark Bars,2022-04-14,48440,275,April,2022,Thursday
Oby Sorrel,UK,Smooth Sliky Salty,2022-05-31,96250,313,May,2022,Tuesday
Oby Sorrel,UK,Raspberry Choco,2022-04-08,45990,323,April,2022,Friday
Roddy Speechley,USA,Drinking Coco,2022-02-21,30030,155,February,2022,Monday
Andria Kimpton,Australia,Manuka Honey Choco,2022-03-30,97440,377,March,2022,Wednesday
Mallorie Waber,India,Raspberry Choco,2022-03-02,14000,2,March,2022,Wednesday
Jehu Rudeforth,USA,Orange Choco,2022-07-28,3640,170,July,2022,Thursday
Kaine Padly,New Zealand,70% Dark Bites,2022-03-24,72310,38,March,2022,Thursday
Curtice Advani,Australia,After Nines,2022-08-11,630,105,August,2022,Thursday
Husein Augar,UK,Almond Choco,2022-05-17,83090,166,May,2022,Tuesday
Kaine Padly,Canada,Choco Coated Almonds,2022-05-18,31640,164,May,2022,Wednesday
Roddy Speechley,UK,Peanut Butter Cubes,2022-08-17,56910,171,August,2022,Wednesday
Ches Bonnell,New Zealand,Eclairs,2022-04-04,4900,49,April,2022,Monday
Brien Boise,India,85% Dark Bars,2022-08-09,180320,205,August,2022,Tuesday
Brien Boise,New Zealand,Organic Choco Syrup,2022-01-17,6370,313,January,2022,Monday
Andria Kimpton,Canada,White Choc,2022-02-14,40670,29,February,2022,Monday
Gigi Bohling,New Zealand,Orange Choco,2022-05-16,82040,307,May,2022,Monday
Ches Bonnell,Canada,Smooth Sliky Salty,2022-03-16,98700,121,March,2022,Wednesday
Husein Augar,Canada,70% Dark Bites,2022-01-31,51310,285,January,2022,Monday
Barr Faughny,Canada,Organic Choco Syrup,2022-03-10,11410,205,March,2022,Thursday
Oby Sorrel,UK,Organic Choco Syrup,2022-06-30,79800,157,June,2022,Thursday
Van Tuxwell,New Zealand,Eclairs,2022-03-01,52290,182,March,2022,Tuesday
Mallorie Waber,UK,Drinking Coco,2022-05-27,34230,100,May,2022,Friday
Oby Sorrel,UK,Milk Bars,2022-07-11,64680,223,July,2022,Monday
Karlen McCaffrey,New Zealand,Mint Chip Choco,2022-03-02,43260,61,March,2022,Wednesday
Jehu Rudeforth,USA,Raspberry Choco,2022-03-04,71540,133,March,2022,Friday
Kelci Walkden,UK,85% Dark Bars,2022-06-23,39970,228,June,2022,Thursday
Kelci Walkden,USA,Almond Choco,2022-01-27,51800,233,January,2022,Thursday
Marney O'Breen,Canada,Orange Choco,2022-01-14,27230,425,January,2022,Friday
Dennison Crosswaite,India,Fruit & Nut Bars,2022-07-29,9520,24,July,2022,Friday
Brien Boise,Canada,Smooth Sliky Salty,2022-05-13,56910,495,May,2022,Friday
Barr Faughny,Canada,Baker's Choco Chips,2022-02-03,109690,170,February,2022,Thursday
Brien Boise,India,Smooth Sliky Salty,2022-05-27,59640,26,May,2022,Friday
Jan Morforth,Australia,Drinking Coco,2022-02-18,28210,24,February,2022,Friday
Brien Boise,India,Spicy Special Slims,2022-01-28,13020,33,January,2022,Friday
Van Tuxwell,UK,Eclairs,2022-06-29,54740,109,June,2022,Wednesday
Wilone O'Kielt,India,Caramel Stuffed Bars,2022-01-13,41790,276,January,2022,Thursday
Jehu Rudeforth,UK,After Nines,2022-06-27,19460,164,June,2022,Monday
Barr Faughny,Canada,White Choc,2022-03-29,42910,1,March,2022,Tuesday
Gunar Cockshoot,India,Organic Choco Syrup,2022-06-03,71960,160,June,2022,Friday
Mallorie Waber,Canada,Smooth Sliky Salty,2022-03-21,19390,98,March,2022,Monday
Mallorie Waber,India,Eclairs,2022-04-12,104370,46,April,2022,Tuesday
Rafaelita Blaksland,Australia,Raspberry Choco,2022-01-19,69160,259,January,2022,Wednesday
Karlen McCaffrey,UK,50% Dark Bites,2022-04-06,36470,310,April,2022,Wednesday
Kaine Padly,Australia,50% Dark Bites,2022-08-02,89950,78,August,2022,Tuesday
Gigi Bohling,Australia,Eclairs,2022-04-12,72520,136,April,2022,Tuesday
Oby Sorrel,India,Drinking Coco,2022-07-21,163800,130,July,2022,Thursday
Van Tuxwell,New Zealand,Baker's Choco Chips,2022-03-22,96600,24,March,2022,Tuesday
Husein Augar,India,Peanut Butter Cubes,2022-05-09,45220,5,May,2022,Monday
Andria Kimpton,Australia,Baker's Choco Chips,2022-08-09,3290,109,August,2022,Tuesday
Madelene Upcott,Canada,Choco Coated Almonds,2022-07-20,34580,294,July,2022,Wednesday
Brien Boise,India,70% Dark Bites,2022-04-14,46410,413,April,2022,Thursday
Jehu Rudeforth,Canada,White Choc,2022-01-25,46270,136,January,2022,Tuesday
Andria Kimpton,Australia,Almond Choco,2022-04-25,31920,175,April,2022,Monday
Dotty Strutley,Canada,After Nines,2022-01-17,2520,237,January,2022,Monday
Karlen McCaffrey,USA,Eclairs,2022-08-15,8680,125,August,2022,Monday
Karlen McCaffrey,Canada,Fruit & Nut Bars,2022-06-02,2100,16,June,2022,Thursday
Gunar Cockshoot,USA,85% Dark Bars,2022-06-30,70070,135,June,2022,Thursday
Dotty Strutley,New Zealand,Raspberry Choco,2022-02-10,58450,91,February,2022,Thursday
Marney O'Breen,Canada,Caramel Stuffed Bars,2022-02-23,13720,614,February,2022,Wednesday
Dennison Crosswaite,India,Organic Choco Syrup,2022-01-27,84280,216,January,2022,Thursday
Camilla Castle,UK,Mint Chip Choco,2022-05-26,49770,317,May,2022,Thursday
Brien Boise,USA,70% Dark Bites,2022-04-14,16940,21,April,2022,Thursday
Madelene Upcott,Australia,99% Dark & Pure,2022-08-01,43260,154,August,2022,Monday
Mallorie Waber,Australia,Eclairs,2022-08-22,95270,222,August,2022,Monday
Marney O'Breen,India,99% Dark & Pure,2022-07-22,107660,157,July,2022,Friday
Husein Augar,USA,Fruit & Nut Bars,2022-04-28,12880,27,April,2022,Thursday
Kelci Walkden,Australia,Almond Choco,2022-05-30,48790,350,May,2022,Monday
Ches Bonnell,USA,Milk Bars,2022-07-21,24080,157,July,2022,Thursday
Jan Morforth,UK,Caramel Stuffed Bars,2022-08-02,30940,468,August,2022,Tuesday
Brien Boise,New Zealand,70% Dark Bites,2022-06-15,72310,130,June,2022,Wednesday
Oby Sorrel,India,85% Dark Bars,2022-07-05,89810,130,July,2022,Tuesday
Kaine Padly,New Zealand,Smooth Sliky Salty,2022-04-12,70,518,April,2022,Tuesday
Gigi Bohling,Australia,70% Dark Bites,2022-08-18,13720,105,August,2022,Thursday
Jan Morforth,UK,50% Dark Bites,2022-01-12,52500,293,January,2022,Wednesday
Gunar Cockshoot,Canada,White Choc,2022-08-11,75600,15,August,2022,Thursday
Jehu Rudeforth,Australia,Spicy Special Slims,2022-01-13,50120,384,January,2022,Thursday
Husein Augar,UK,Baker's Choco Chips,2022-04-29,30380,135,April,2022,Friday
Rafaelita Blaksland,New Zealand,After Nines,2022-07-07,10990,92,July,2022,Thursday
Madelene Upcott,New Zealand,Mint Chip Choco,2022-03-11,74130,4,March,2022,Friday
Madelene Upcott,UK,70% Dark Bites,2022-02-16,53970,239,February,2022,Wednesday
Barr Faughny,Australia,Organic Choco Syrup,2022-01-07,23030,33,January,2022,Friday
Beverie Moffet,New Zealand,Drinking Coco,2022-01-12,11410,518,January,2022,Wednesday
Beverie Moffet,India,Eclairs,2022-06-09,103250,147,June,2022,Thursday
Andria Kimpton,India,Eclairs,2022-05-16,21490,84,May,2022,Monday
Gigi Bohling,UK,85% Dark Bars,2022-06-23,123620,94,June,2022,Thursday
Roddy Speechley,UK,Raspberry Choco,2022-01-28,126350,194,January,2022,Friday
Dotty Strutley,UK,Mint Chip Choco,2022-07-14,24430,216,July,2022,Thursday
Barr Faughny,Canada,Drinking Coco,2022-04-18,62370,247,April,2022,Monday
Oby Sorrel,USA,Milk Bars,2022-06-14,17360,79,June,2022,Tuesday
Oby Sorrel,UK,Orange Choco,2022-04-15,73150,237,April,2022,Friday
Curtice Advani,Canada,Peanut Butter Cubes,2022-05-19,49350,63,May,2022,Thursday
Gigi Bohling,India,White Choc,2022-04-13,13930,172,April,2022,Wednesday
Husein Augar,Canada,Choco Coated Almonds,2022-08-15,33810,408,August,2022,Monday
Wilone O'Kielt,India,Choco Coated Almonds,2022-08-22,29330,233,August,2022,Monday
Wilone O'Kielt,New Zealand,Baker's Choco Chips,2022-04-22,38360,59,April,2022,Friday
Kaine Padly,UK,Choco Coated Almonds,2022-08-03,80220,123,August,2022,Wednesday
Dennison Crosswaite,New Zealand,Organic Choco Syrup,2022-01-04,3710,229,January,2022,Tuesday
Kelci Walkden,Canada,After Nines,2022-01-13,167020,198,January,2022,Thursday
Van Tuxwell,Australia,Baker's Choco Chips,2022-05-11,132580,32,May,2022,Wednesday
Husein Augar,New Zealand,Peanut Butter Cubes,2022-02-16,20580,236,February,2022,Wednesday
Kaine Padly,UK,Caramel Stuffed Bars,2022-05-20,101920,67,May,2022,Friday
Jehu Rudeforth,UK,Drinking Coco,2022-02-03,71400,438,February,2022,Thursday
Beverie Moffet,India,Manuka Honey Choco,2022-05-06,98350,167,May,2022,Friday
Gunar Cockshoot,UK,Choco Coated Almonds,2022-06-30,57750,135,June,2022,Thursday
Gunar Cockshoot,UK,Smooth Sliky Salty,2022-03-22,7490,148,March,2022,Tuesday
Camilla Castle,Canada,Orange Choco,2022-02-17,77700,54,February,2022,Thursday
Jehu Rudeforth,UK,85% Dark Bars,2022-07-07,55020,64,July,2022,Thursday
Oby Sorrel,UK,70% Dark Bites,2022-03-16,62230,181,March,2022,Wednesday
Kelci Walkden,UK,99% Dark & Pure,2022-08-12,35070,114,August,2022,Friday
Gigi Bohling,New Zealand,After Nines,2022-01-21,56000,181,January,2022,Friday
Oby Sorrel,Australia,50% Dark Bites,2022-05-06,7210,151,May,2022,Friday
Oby Sorrel,Canada,50% Dark Bites,2022-06-24,66150,137,June,2022,Friday
Barr Faughny,USA,White Choc,2022-05-05,74200,163,May,2022,Thursday
Rafaelita Blaksland,New Zealand,99% Dark & Pure,2022-03-25,31640,84,March,2022,Friday
Curtice Advani,Australia,Caramel Stuffed Bars,2022-02-14,91140,140,February,2022,Monday
Curtice Advani,New Zealand,85% Dark Bars,2022-05-12,54040,187,May,2022,Thursday
Barr Faughny,New Zealand,Smooth Sliky Salty,2022-01-25,39900,169,January,2022,Tuesday
Ches Bonnell,UK,85% Dark Bars,2022-06-28,149240,12,June,2022,Tuesday
Dennison Crosswaite,Australia,Drinking Coco,2022-07-13,70910,194,July,2022,Wednesday
Roddy Speechley,USA,Milk Bars,2022-05-16,28070,252,May,2022,Monday
Jan Morforth,India,After Nines,2022-03-14,64960,168,March,2022,Monday
Gunar Cockshoot,USA,After Nines,2022-08-15,37380,261,August,2022,Monday
Ches Bonnell,India,Orange Choco,2022-02-16,11900,256,February,2022,Wednesday
Mallorie Waber,UK,Manuka Honey Choco,2022-06-15,83790,43,June,2022,Wednesday
Barr Faughny,Australia,Raspberry Choco,2022-05-27,92680,100,May,2022,Friday
Wilone O'Kielt,USA,Drinking Coco,2022-06-14,10290,98,June,2022,Tuesday
Wilone O'Kielt,India,Eclairs,2022-02-25,35490,76,February,2022,Friday
Wilone O'Kielt,India,After Nines,2022-08-04,120260,262,August,2022,Thursday
Kelci Walkden,India,99% Dark & Pure,2022-06-28,23030,244,June,2022,Tuesday
Gunar Cockshoot,Canada,Spicy Special Slims,2022-04-05,134050,12,April,2022,Tuesday
Madelene Upcott,Canada,Peanut Butter Cubes,2022-07-05,147630,113,July,2022,Tuesday
Kaine Padly,New Zealand,Eclairs,2022-01-20,128940,48,January,2022,Thursday
Ches Bonnell,New Zealand,Drinking Coco,2022-02-16,83020,131,February,2022,Wednesday
Curtice Advani,UK,Drinking Coco,2022-07-12,4550,174,July,2022,Tuesday
Kelci Walkden,India,Raspberry Choco,2022-06-16,81830,254,June,2022,Thursday
Dotty Strutley,Australia,Choco Coated Almonds,2022-04-13,16450,284,April,2022,Wednesday
Kaine Padly,UK,50% Dark Bites,2022-02-21,31430,67,February,2022,Monday
Roddy Speechley,Canada,Choco Coated Almonds,2022-05-11,58730,249,May,2022,Wednesday
Ches Bonnell,India,50% Dark Bites,2022-04-15,112980,313,April,2022,Friday
Oby Sorrel,Canada,Peanut Butter Cubes,2022-06-07,124250,167,June,2022,Tuesday
Oby Sorrel,UK,White Choc,2022-06-27,17150,286,June,2022,Monday
Barr Faughny,India,After Nines,2022-07-29,81900,109,July,2022,Friday
Wilone O'Kielt,Canada,Smooth Sliky Salty,2022-06-02,49910,166,June,2022,Thursday
Rafaelita Blaksland,India,Mint Chip Choco,2022-01-26,154910,85,January,2022,Wednesday
Rafaelita Blaksland,Canada,99% Dark & Pure,2022-03-02,50960,142,March,2022,Wednesday
Van Tuxwell,Australia,70% Dark Bites,2022-01-10,70630,104,January,2022,Monday
Beverie Moffet,USA,70% Dark Bites,2022-06-27,22750,115,June,2022,Monday
Barr Faughny,Canada,Orange Choco,2022-06-30,76020,18,June,2022,Thursday
Roddy Speechley,Australia,85% Dark Bars,2022-07-08,42000,80,July,2022,Friday
Oby Sorrel,India,Spicy Special Slims,2022-06-08,111370,88,June,2022,Wednesday
Jan Morforth,UK,Manuka Honey Choco,2022-08-18,33880,212,August,2022,Thursday
Kaine Padly,Australia,After Nines,2022-04-08,68320,306,April,2022,Friday
Wilone O'Kielt,Canada,Fruit & Nut Bars,2022-08-08,34370,181,August,2022,Monday
Wilone O'Kielt,UK,Milk Bars,2022-08-26,3010,65,August,2022,Friday
Oby Sorrel,Canada,Fruit & Nut Bars,2022-01-14,18690,158,January,2022,Friday
Dennison Crosswaite,USA,Baker's Choco Chips,2022-08-11,174650,271,August,2022,Thursday
