Sales Person,Country,Product,Date,Amount,Boxes Shipped
Andria Kimpton,Canada,Smooth Sliky Salty,7/8/2022," $ 1,155.00 ",79
Gunar Cockshoot,UK,Raspberry Choco,8/11/2022," $ 6,811.00 ",344
Husein Augar,New Zealand,After Nines,8/4/2022," $ 6,433.00 ",7
Andria Kimpton,New Zealand,Orange Choco,6/14/2022," $ 8,169.00 ",88
Dennison Crosswaite,UK,Baker's Choco Chips,1/17/2022," $ 2,275.00 ",275
Jehu Rudeforth,Canada,Orange Choco,6/23/2022," $ 3,857.00 ",512
Jehu Rudeforth,UK,Smooth Sliky Salty,8/24/2022," $ 1,463.00 ",113
Andria Kimpton,UK,Caramel Stuffed Bars,6/7/2022," $ 7,924.00 ",275
Jan Morforth,UK,White Choc,6/22/2022," $ 8,799.00 ",47
Dotty Strutley,USA,Fruit & Nut Bars,7/13/2022," $ 2,898.00 ",276
Kelci Walkden,UK,Choco Coated Almonds,5/24/2022," $ 9,506.00 ",212
Gunar Cockshoot,New Zealand,After Nines,8/9/2022," $ 7,175.00 ",145
Kaine Padly,Canada,85% Dark Bars,4/6/2022," $ 1,729.00 ",31
Jan Morforth,New Zealand,Manuka Honey Choco,7/28/2022," $ 1,589.00 ",271
Gunar Cockshoot,New Zealand,Raspberry Choco,8/24/2022, $ 630.00 ,52
Van Tuxwell,Australia,99% Dark & Pure,1/17/2022, $ 112.00 ,128
Curtice Advani,USA,Drinking Coco,2/7/2022," $ 5,187.00 ",142
Brien Boise,Australia,Spicy Special Slims,5/9/2022," $ 6,223.00 ",256
Mallorie Waber,New Zealand,85% Dark Bars,6/6/2022," $ 7,714.00 ",106
Wilone O'Kielt,USA,Choco Coated Almonds,6/6/2022," $ 9,457.00 ",6
Beverie Moffet,New Zealand,Organic Choco Syrup,5/24/2022," $ 6,678.00 ",226
Gunar Cockshoot,UK,50% Dark Bites,1/13/2022," $ 2,107.00 ",121
Marney O'Breen,USA,Raspberry Choco,5/23/2022," $ 6,069.00 ",151
Jehu Rudeforth,UK,White Choc,6/29/2022," $ 1,862.00 ",284
Jehu Rudeforth,New Zealand,85% Dark Bars,3/11/2022," $ 6,972.00 ",89
Dotty Strutley,USA,85% Dark Bars,4/25/2022," $ 10,220.00 ",508
Rafaelita Blaksland,Australia,Smooth Sliky Salty,5/30/2022," $ 3,969.00 ",243
Curtice Advani,India,Manuka Honey Choco,5/23/2022," $ 1,547.00 ",170
Mallorie Waber,USA,Peanut Butter Cubes,5/23/2022," $ 1,162.00 ",18
Van Tuxwell,Canada,Peanut Butter Cubes,6/24/2022," $ 6,342.00 ",282
Kelci Walkden,New Zealand,Smooth Sliky Salty,3/11/2022," $ 10,633.00 ",277
Rafaelita Blaksland,USA,Smooth Sliky Salty,7/27/2022," $ 15,057.00 ",212
Rafaelita Blaksland,USA,White Choc,8/16/2022," $ 4,704.00 ",126
Roddy Speechley,Canada,Smooth Sliky Salty,3/7/2022," $ 9,338.00 ",11
Curtice Advani,New Zealand,After Nines,4/5/2022," $ 7,959.00 ",30
Camilla Castle,India,85% Dark Bars,5/4/2022," $ 9,023.00 ",51
Ches Bonnell,USA,Choco Coated Almonds,1/4/2022," $ 14,525.00 ",92
Marney O'Breen,Australia,Baker's Choco Chips,1/13/2022," $ 5,810.00 ",101
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,7/11/2022," $ 6,426.00 ",98
Kaine Padly,Australia,Mint Chip Choco,5/17/2022," $ 4,403.00 ",159
Camilla Castle,New Zealand,Peanut Butter Cubes,7/21/2022," $ 1,582.00 ",62
Curtice Advani,Canada,Organic Choco Syrup,2/22/2022, $ 791.00 ,22
Jan Morforth,India,99% Dark & Pure,5/23/2022," $ 9,100.00 ",187
Rafaelita Blaksland,Canada,Drinking Coco,7/12/2022," $ 9,884.00 ",200
Jan Morforth,UK,Orange Choco,6/15/2022," $ 3,780.00 ",201
Barr Faughny,New Zealand,50% Dark Bites,6/23/2022," $ 4,557.00 ",308
Curtice Advani,Australia,Eclairs,3/25/2022," $ 5,796.00 ",55
Jan Morforth,India,Caramel Stuffed Bars,7/4/2022, $ 84.00 ,153
Andria Kimpton,UK,White Choc,5/12/2022," $ 9,037.00 ",101
Camilla Castle,New Zealand,Raspberry Choco,4/4/2022," $ 4,746.00 ",137
Madelene Upcott,Australia,Orange Choco,4/15/2022," $ 6,713.00 ",398
Roddy Speechley,Canada,Eclairs,3/8/2022," $ 6,237.00 ",88
Karlen McCaffrey,India,White Choc,1/17/2022," $ 7,483.00 ",232
Wilone O'Kielt,India,Mint Chip Choco,8/22/2022," $ 1,309.00 ",51
Andria Kimpton,UK,99% Dark & Pure,7/25/2022," $ 1,155.00 ",66
Marney O'Breen,UK,50% Dark Bites,6/14/2022," $ 2,989.00 ",124
Ches Bonnell,India,Choco Coated Almonds,4/5/2022," $ 9,625.00 ",78
Madelene Upcott,UK,Raspberry Choco,8/26/2022," $ 7,357.00 ",341
Wilone O'Kielt,Australia,50% Dark Bites,8/3/2022," $ 10,031.00 ",114
Gigi Bohling,Canada,White Choc,7/11/2022," $ 6,587.00 ",4
Wilone O'Kielt,New Zealand,Eclairs,3/11/2022," $ 3,311.00 ",22
Brien Boise,UK,Peanut Butter Cubes,1/10/2022," $ 15,330.00 ",30
Roddy Speechley,UK,Baker's Choco Chips,4/4/2022," $ 14,028.00 ",351
Karlen McCaffrey,Australia,50% Dark Bites,1/17/2022," $ 6,678.00 ",708
Marney O'Breen,New Zealand,Organic Choco Syrup,7/8/2022," $ 8,624.00 ",50
Jan Morforth,UK,Organic Choco Syrup,4/12/2022," $ 1,197.00 ",356
Rafaelita Blaksland,Canada,Fruit & Nut Bars,8/24/2022, $ 483.00 ,185
Ches Bonnell,UK,Choco Coated Almonds,6/7/2022," $ 1,687.00 ",236
Gunar Cockshoot,Canada,Almond Choco,7/28/2022," $ 1,309.00 ",30
Husein Augar,USA,99% Dark & Pure,2/21/2022," $ 9,534.00 ",111
Dennison Crosswaite,Canada,Mint Chip Choco,4/8/2022," $ 1,694.00 ",289
Brien Boise,UK,Manuka Honey Choco,6/28/2022, $ 70.00 ,103
Van Tuxwell,UK,Baker's Choco Chips,3/24/2022," $ 2,443.00 ",20
Barr Faughny,Australia,Caramel Stuffed Bars,7/29/2022," $ 2,933.00 ",55
Dennison Crosswaite,USA,Eclairs,5/25/2022," $ 2,044.00 ",90
Gigi Bohling,Australia,Raspberry Choco,3/30/2022," $ 6,524.00 ",303
Dennison Crosswaite,USA,Organic Choco Syrup,7/18/2022," $ 12,656.00 ",126
Beverie Moffet,Canada,Orange Choco,5/10/2022," $ 8,722.00 ",109
Mallorie Waber,Australia,Choco Coated Almonds,3/18/2022," $ 15,750.00 ",92
Ches Bonnell,India,Caramel Stuffed Bars,6/15/2022," $ 6,839.00 ",56
Van Tuxwell,Canada,50% Dark Bites,5/12/2022," $ 13,685.00 ",58
Kelci Walkden,New Zealand,Baker's Choco Chips,6/23/2022," $ 2,912.00 ",110
Beverie Moffet,India,Spicy Special Slims,4/21/2022," $ 3,339.00 ",171
Gigi Bohling,Australia,Almond Choco,8/17/2022, $ 910.00 ,117
Rafaelita Blaksland,New Zealand,Eclairs,2/7/2022," $ 19,481.00 ",51
Kelci Walkden,Canada,Smooth Sliky Salty,3/17/2022," $ 8,099.00 ",118
Jan Morforth,India,Baker's Choco Chips,8/1/2022," $ 13,727.00 ",79
Jehu Rudeforth,Australia,Milk Bars,3/18/2022," $ 8,659.00 ",29
Gigi Bohling,Canada,Fruit & Nut Bars,6/14/2022," $ 5,782.00 ",103
Beverie Moffet,UK,Eclairs,4/22/2022," $ 8,463.00 ",155
Marney O'Breen,New Zealand,Eclairs,1/18/2022," $ 4,914.00 ",31
Husein Augar,Australia,99% Dark & Pure,8/26/2022," $ 3,087.00 ",128
Gunar Cockshoot,New Zealand,Fruit & Nut Bars,6/10/2022," $ 9,205.00 ",419
Curtice Advani,Canada,70% Dark Bites,1/31/2022," $ 2,303.00 ",7
Kelci Walkden,New Zealand,Manuka Honey Choco,4/8/2022," $ 1,358.00 ",106
Dotty Strutley,Australia,Baker's Choco Chips,6/7/2022," $ 3,605.00 ",68
Barr Faughny,Australia,85% Dark Bars,2/10/2022," $ 8,498.00 ",44
Beverie Moffet,Australia,50% Dark Bites,5/16/2022, $ 700.00 ,457
Gunar Cockshoot,India,Baker's Choco Chips,3/18/2022," $ 2,191.00 ",524
Van Tuxwell,Australia,50% Dark Bites,7/13/2022, $ 644.00 ,137
Oby Sorrel,USA,Manuka Honey Choco,7/25/2022," $ 4,340.00 ",86
Van Tuxwell,Canada,Choco Coated Almonds,8/19/2022," $ 2,282.00 ",296
Karlen McCaffrey,Canada,70% Dark Bites,6/24/2022," $ 7,714.00 ",597
Kelci Walkden,Canada,Fruit & Nut Bars,6/20/2022, $ 826.00 ,149
Camilla Castle,India,99% Dark & Pure,8/2/2022, $ 203.00 ,207
Madelene Upcott,New Zealand,70% Dark Bites,2/22/2022," $ 13,356.00 ",93
Mallorie Waber,New Zealand,Orange Choco,2/1/2022," $ 6,510.00 ",23
Jan Morforth,Canada,70% Dark Bites,2/14/2022," $ 5,894.00 ",305
Kelci Walkden,Australia,Milk Bars,2/24/2022," $ 7,910.00 ",125
Dennison Crosswaite,India,Orange Choco,3/18/2022, $ 784.00 ,129
Husein Augar,UK,Eclairs,8/30/2022," $ 1,750.00 ",252
Gigi Bohling,USA,Peanut Butter Cubes,5/9/2022, $ 280.00 ,75
Wilone O'Kielt,USA,Smooth Sliky Salty,1/18/2022, $ 504.00 ,87
Curtice Advani,India,White Choc,7/4/2022," $ 7,154.00 ",342
Oby Sorrel,New Zealand,Spicy Special Slims,6/3/2022," $ 1,617.00 ",13
Beverie Moffet,New Zealand,Peanut Butter Cubes,2/23/2022," $ 10,822.00 ",30
Dotty Strutley,New Zealand,99% Dark & Pure,5/9/2022," $ 10,724.00 ",203
Kelci Walkden,India,70% Dark Bites,6/6/2022," $ 3,640.00 ",106
Kelci Walkden,India,Drinking Coco,7/4/2022," $ 7,532.00 ",234
Brien Boise,New Zealand,Drinking Coco,6/6/2022," $ 1,582.00 ",100
Dotty Strutley,Australia,Almond Choco,5/13/2022," $ 1,456.00 ",91
Wilone O'Kielt,New Zealand,Organic Choco Syrup,1/31/2022," $ 2,016.00 ",277
Ches Bonnell,New Zealand,Caramel Stuffed Bars,6/30/2022," $ 7,588.00 ",42
Barr Faughny,Canada,Manuka Honey Choco,8/25/2022," $ 3,402.00 ",249
Gigi Bohling,New Zealand,Smooth Sliky Salty,1/10/2022, $ 700.00 ,97
Brien Boise,USA,Manuka Honey Choco,8/22/2022," $ 1,904.00 ",8
Roddy Speechley,New Zealand,85% Dark Bars,4/14/2022," $ 4,844.00 ",275
Oby Sorrel,UK,Smooth Sliky Salty,5/31/2022," $ 9,625.00 ",313
Oby Sorrel,UK,Raspberry Choco,4/8/2022," $ 4,599.00 ",323
Roddy Speechley,USA,Drinking Coco,2/21/2022," $ 3,003.00 ",155
Andria Kimpton,Australia,Manuka Honey Choco,3/30/2022," $ 9,744.00 ",377
Mallorie Waber,India,Raspberry Choco,3/2/2022," $ 1,400.00 ",2
Jehu Rudeforth,USA,Orange Choco,7/28/2022, $ 364.00 ,170
Kaine Padly,New Zealand,70% Dark Bites,3/24/2022," $ 7,231.00 ",38
Curtice Advani,Australia,After Nines,8/11/2022, $ 63.00 ,105
Husein Augar,UK,Almond Choco,5/17/2022," $ 8,309.00 ",166
Kaine Padly,Canada,Choco Coated Almonds,5/18/2022," $ 3,164.00 ",164
Roddy Speechley,UK,Peanut Butter Cubes,8/17/2022," $ 5,691.00 ",171
Ches Bonnell,New Zealand,Eclairs,4/4/2022, $ 490.00 ,49
Brien Boise,India,85% Dark Bars,8/9/2022," $ 18,032.00 ",205
Brien Boise,New Zealand,Organic Choco Syrup,1/17/2022, $ 637.00 ,313
Andria Kimpton,Canada,White Choc,2/14/2022," $ 4,067.00 ",29
Gigi Bohling,New Zealand,Orange Choco,5/16/2022," $ 8,204.00 ",307
Ches Bonnell,Canada,Smooth Sliky Salty,3/16/2022," $ 9,870.00 ",121
Husein Augar,Canada,70% Dark Bites,1/31/2022," $ 5,131.00 ",285
Barr Faughny,Canada,Organic Choco Syrup,3/10/2022," $ 1,141.00 ",205
Oby Sorrel,UK,Organic Choco Syrup,6/30/2022," $ 7,980.00 ",157
Van Tuxwell,New Zealand,Eclairs,3/1/2022," $ 5,229.00 ",182
Mallorie Waber,UK,Drinking Coco,5/27/2022," $ 3,423.00 ",100
Oby Sorrel,UK,Milk Bars,7/11/2022," $ 6,468.00 ",223
Karlen McCaffrey,New Zealand,Mint Chip Choco,3/2/2022," $ 4,326.00 ",61
Jehu Rudeforth,USA,Raspberry Choco,3/4/2022," $ 7,154.00 ",133
Kelci Walkden,UK,85% Dark Bars,6/23/2022," $ 3,997.00 ",228
Kelci Walkden,USA,Almond Choco,1/27/2022," $ 5,180.00 ",233
Marney O'Breen,Canada,Orange Choco,1/14/2022," $ 2,723.00 ",425
Dennison Crosswaite,India,Fruit & Nut Bars,7/29/2022, $ 952.00 ,24
Brien Boise,Canada,Smooth Sliky Salty,5/13/2022," $ 5,691.00 ",495
Barr Faughny,Canada,Baker's Choco Chips,2/3/2022," $ 10,969.00 ",170
Brien Boise,India,Smooth Sliky Salty,5/27/2022," $ 5,964.00 ",26
Jan Morforth,Australia,Drinking Coco,2/18/2022," $ 2,821.00 ",24
Brien Boise,India,Spicy Special Slims,1/28/2022," $ 1,302.00 ",33
Van Tuxwell,UK,Eclairs,6/29/2022," $ 5,474.00 ",109
Wilone O'Kielt,India,Caramel Stuffed Bars,1/13/2022," $ 4,179.00 ",276
Jehu Rudeforth,UK,After Nines,6/27/2022," $ 1,946.00 ",164
Barr Faughny,Canada,White Choc,3/29/2022," $ 4,291.00 ",1
Gunar Cockshoot,India,Organic Choco Syrup,6/3/2022," $ 7,196.00 ",160
Mallorie Waber,Canada,Smooth Sliky Salty,3/21/2022," $ 1,939.00 ",98
Mallorie Waber,India,Eclairs,4/12/2022," $ 10,437.00 ",46
Rafaelita Blaksland,Australia,Raspberry Choco,1/19/2022," $ 6,916.00 ",259
Karlen McCaffrey,UK,50% Dark Bites,4/6/2022," $ 3,647.00 ",310
Kaine Padly,Australia,50% Dark Bites,8/2/2022," $ 8,995.00 ",78
Gigi Bohling,Australia,Eclairs,4/12/2022," $ 7,252.00 ",136
Oby Sorrel,India,Drinking Coco,7/21/2022," $ 16,380.00 ",130
Van Tuxwell,New Zealand,Baker's Choco Chips,3/22/2022," $ 9,660.00 ",24
Husein Augar,India,Peanut Butter Cubes,5/9/2022," $ 4,522.00 ",5
Andria Kimpton,Australia,Baker's Choco Chips,8/9/2022, $ 329.00 ,109
Madelene Upcott,Canada,Choco Coated Almonds,7/20/2022," $ 3,458.00 ",294
Brien Boise,India,70% Dark Bites,4/14/2022," $ 4,641.00 ",413
Jehu Rudeforth,Canada,White Choc,1/25/2022," $ 4,627.00 ",136
Andria Kimpton,Australia,Almond Choco,4/25/2022," $ 3,192.00 ",175
Dotty Strutley,Canada,After Nines,1/17/2022, $ 252.00 ,237
Karlen McCaffrey,USA,Eclairs,8/15/2022, $ 868.00 ,125
Karlen McCaffrey,Canada,Fruit & Nut Bars,6/2/2022, $ 210.00 ,16
Gunar Cockshoot,USA,85% Dark Bars,6/30/2022," $ 7,007.00 ",135
Dotty Strutley,New Zealand,Raspberry Choco,2/10/2022," $ 5,845.00 ",91
Marney O'Breen,Canada,Caramel Stuffed Bars,2/23/2022," $ 1,372.00 ",614
Dennison Crosswaite,India,Organic Choco Syrup,1/27/2022," $ 8,428.00 ",216
Camilla Castle,UK,Mint Chip Choco,5/26/2022," $ 4,977.00 ",317
Brien Boise,USA,70% Dark Bites,4/14/2022," $ 1,694.00 ",21
Madelene Upcott,Australia,99% Dark & Pure,8/1/2022," $ 4,326.00 ",154
Mallorie Waber,Australia,Eclairs,8/22/2022," $ 9,527.00 ",222
Marney O'Breen,India,99% Dark & Pure,7/22/2022," $ 10,766.00 ",157
Husein Augar,USA,Fruit & Nut Bars,4/28/2022," $ 1,288.00 ",27
Kelci Walkden,Australia,Almond Choco,5/30/2022," $ 4,879.00 ",350
Ches Bonnell,USA,Milk Bars,7/21/2022," $ 2,408.00 ",157
Jan Morforth,UK,Caramel Stuffed Bars,8/2/2022," $ 3,094.00 ",468
Brien Boise,New Zealand,70% Dark Bites,6/15/2022," $ 7,231.00 ",130
Oby Sorrel,India,85% Dark Bars,7/5/2022," $ 8,981.00 ",130
Kaine Padly,New Zealand,Smooth Sliky Salty,4/12/2022, $ 7.00 ,518
Gigi Bohling,Australia,70% Dark Bites,8/18/2022," $ 1,372.00 ",105
Jan Morforth,UK,50% Dark Bites,1/12/2022," $ 5,250.00 ",293
Gunar Cockshoot,Canada,White Choc,8/11/2022," $ 7,560.00 ",15
Jehu Rudeforth,Australia,Spicy Special Slims,1/13/2022," $ 5,012.00 ",384
Husein Augar,UK,Baker's Choco Chips,4/29/2022," $ 3,038.00 ",135
Rafaelita Blaksland,New Zealand,After Nines,7/7/2022," $ 1,099.00 ",92
Madelene Upcott,New Zealand,Mint Chip Choco,3/11/2022," $ 7,413.00 ",4
Madelene Upcott,UK,70% Dark Bites,2/16/2022," $ 5,397.00 ",239
Barr Faughny,Australia,Organic Choco Syrup,1/7/2022," $ 2,303.00 ",33
Beverie Moffet,New Zealand,Drinking Coco,1/12/2022," $ 1,141.00 ",518
Beverie Moffet,India,Eclairs,6/9/2022," $ 10,325.00 ",147
Andria Kimpton,India,Eclairs,5/16/2022," $ 2,149.00 ",84
Gigi Bohling,UK,85% Dark Bars,6/23/2022," $ 12,362.00 ",94
Roddy Speechley,UK,Raspberry Choco,1/28/2022," $ 12,635.00 ",194
Dotty Strutley,UK,Mint Chip Choco,7/14/2022," $ 2,443.00 ",216
Barr Faughny,Canada,Drinking Coco,4/18/2022," $ 6,237.00 ",247
Oby Sorrel,USA,Milk Bars,6/14/2022," $ 1,736.00 ",79
Oby Sorrel,UK,Orange Choco,4/15/2022," $ 7,315.00 ",237
Curtice Advani,Canada,Peanut Butter Cubes,5/19/2022," $ 4,935.00 ",63
Gigi Bohling,India,White Choc,4/13/2022," $ 1,393.00 ",172
Husein Augar,Canada,Choco Coated Almonds,8/15/2022," $ 3,381.00 ",408
Wilone O'Kielt,India,Choco Coated Almonds,8/22/2022," $ 2,933.00 ",233
Wilone O'Kielt,New Zealand,Baker's Choco Chips,4/22/2022," $ 3,836.00 ",59
Kaine Padly,UK,Choco Coated Almonds,8/3/2022," $ 8,022.00 ",123
Dennison Crosswaite,New Zealand,Organic Choco Syrup,1/4/2022, $ 371.00 ,229
Kelci Walkden,Canada,After Nines,1/13/2022," $ 16,702.00 ",198
Van Tuxwell,Australia,Baker's Choco Chips,5/11/2022," $ 13,258.00 ",32
Husein Augar,New Zealand,Peanut Butter Cubes,2/16/2022," $ 2,058.00 ",236
Kaine Padly,UK,Caramel Stuffed Bars,5/20/2022," $ 10,192.00 ",67
Jehu Rudeforth,UK,Drinking Coco,2/3/2022," $ 7,140.00 ",438
Beverie Moffet,India,Manuka Honey Choco,5/6/2022," $ 9,835.00 ",167
Gunar Cockshoot,UK,Choco Coated Almonds,6/30/2022," $ 5,775.00 ",135
Gunar Cockshoot,UK,Smooth Sliky Salty,3/22/2022, $ 749.00 ,148
Camilla Castle,Canada,Orange Choco,2/17/2022," $ 7,770.00 ",54
Jehu Rudeforth,UK,85% Dark Bars,7/7/2022," $ 5,502.00 ",64
Oby Sorrel,UK,70% Dark Bites,3/16/2022," $ 6,223.00 ",181
Kelci Walkden,UK,99% Dark & Pure,8/12/2022," $ 3,507.00 ",114
Gigi Bohling,New Zealand,After Nines,1/21/2022," $ 5,600.00 ",181
Oby Sorrel,Australia,50% Dark Bites,5/6/2022, $ 721.00 ,151
Oby Sorrel,Canada,50% Dark Bites,6/24/2022," $ 6,615.00 ",137
Barr Faughny,USA,White Choc,5/5/2022," $ 7,420.00 ",163
Rafaelita Blaksland,New Zealand,99% Dark & Pure,3/25/2022," $ 3,164.00 ",84
Curtice Advani,Australia,Caramel Stuffed Bars,2/14/2022," $ 9,114.00 ",140
Curtice Advani,New Zealand,85% Dark Bars,5/12/2022," $ 5,404.00 ",187
Barr Faughny,New Zealand,Smooth Sliky Salty,1/25/2022," $ 3,990.00 ",169
Ches Bonnell,UK,85% Dark Bars,6/28/2022," $ 14,924.00 ",12
Dennison Crosswaite,Australia,Drinking Coco,7/13/2022," $ 7,091.00 ",194
Roddy Speechley,USA,Milk Bars,5/16/2022," $ 2,807.00 ",252
Jan Morforth,India,After Nines,3/14/2022," $ 6,496.00 ",168
Gunar Cockshoot,USA,After Nines,8/15/2022," $ 3,738.00 ",261
Ches Bonnell,India,Orange Choco,2/16/2022," $ 1,190.00 ",256
Mallorie Waber,UK,Manuka Honey Choco,6/15/2022," $ 8,379.00 ",43
Barr Faughny,Australia,Raspberry Choco,5/27/2022," $ 9,268.00 ",100
Wilone O'Kielt,USA,Drinking Coco,6/14/2022," $ 1,029.00 ",98
Wilone O'Kielt,India,Eclairs,2/25/2022," $ 3,549.00 ",76
Wilone O'Kielt,India,After Nines,8/4/2022," $ 12,026.00 ",262
Kelci Walkden,India,99% Dark & Pure,6/28/2022," $ 2,303.00 ",244
Gunar Cockshoot,Canada,Spicy Special Slims,4/5/2022," $ 13,405.00 ",12
Madelene Upcott,Canada,Peanut Butter Cubes,7/5/2022," $ 14,763.00 ",113
Kaine Padly,New Zealand,Eclairs,1/20/2022," $ 12,894.00 ",48
Ches Bonnell,New Zealand,Drinking Coco,2/16/2022," $ 8,302.00 ",131
Curtice Advani,UK,Drinking Coco,7/12/2022, $ 455.00 ,174
Kelci Walkden,India,Raspberry Choco,6/16/2022," $ 8,183.00 ",254
Dotty Strutley,Australia,Choco Coated Almonds,4/13/2022," $ 1,645.00 ",284
Kaine Padly,UK,50% Dark Bites,2/21/2022," $ 3,143.00 ",67
Roddy Speechley,Canada,Choco Coated Almonds,5/11/2022," $ 5,873.00 ",249
Ches Bonnell,India,50% Dark Bites,4/15/2022," $ 11,298.00 ",313
Oby Sorrel,Canada,Peanut Butter Cubes,6/7/2022," $ 12,425.00 ",167
Oby Sorrel,UK,White Choc,6/27/2022," $ 1,715.00 ",286
Barr Faughny,India,After Nines,7/29/2022," $ 8,190.00 ",109
Wilone O'Kielt,Canada,Smooth Sliky Salty,6/2/2022," $ 4,991.00 ",166
Rafaelita Blaksland,India,Mint Chip Choco,1/26/2022," $ 15,491.00 ",85
Rafaelita Blaksland,Canada,99% Dark & Pure,3/2/2022," $ 5,096.00 ",142
Van Tuxwell,Australia,70% Dark Bites,1/10/2022," $ 7,063.00 ",104
Beverie Moffet,USA,70% Dark Bites,6/27/2022," $ 2,275.00 ",115
Barr Faughny,Canada,Orange Choco,6/30/2022," $ 7,602.00 ",18
Roddy Speechley,Australia,85% Dark Bars,7/8/2022," $ 4,200.00 ",80
Oby Sorrel,India,Spicy Special Slims,6/8/2022," $ 11,137.00 ",88
Jan Morforth,UK,Manuka Honey Choco,8/18/2022," $ 3,388.00 ",212
Kaine Padly,Australia,After Nines,4/8/2022," $ 6,832.00 ",306
Wilone O'Kielt,Canada,Fruit & Nut Bars,8/8/2022," $ 3,437.00 ",181
Wilone O'Kielt,UK,Milk Bars,8/26/2022, $ 301.00 ,65
Oby Sorrel,Canada,Fruit & Nut Bars,1/14/2022," $ 1,869.00 ",158
Dennison Crosswaite,USA,Baker's Choco Chips,8/11/2022," $ 17,465.00 ",271
Madelene Upcott,USA,Almond Choco,5/31/2022," $ 10,143.00 ",24
Van Tuxwell,New Zealand,50% Dark Bites,7/11/2022," $ 3,626.00 ",10
Karlen McCaffrey,Canada,Caramel Stuffed Bars,3/2/2022," $ 3,346.00 ",304
Madelene Upcott,Australia,Raspberry Choco,7/13/2022," $ 6,321.00 ",88
Rafaelita Blaksland,UK,Spicy Special Slims,8/3/2022," $ 9,345.00 ",133
Curtice Advani,UK,Peanut Butter Cubes,3/1/2022," $ 15,008.00 ",165
Kelci Walkden,New Zealand,White Choc,4/13/2022," $ 7,609.00 ",150
Beverie Moffet,Canada,Fruit & Nut Bars,2/14/2022," $ 10,332.00 ",180
Mallorie Waber,India,White Choc,7/26/2022, $ 819.00 ,213
Brien Boise,UK,Drinking Coco,1/27/2022," $ 5,754.00 ",133
Jehu Rudeforth,India,Peanut Butter Cubes,4/14/2022, $ 28.00 ,446
Oby Sorrel,USA,Almond Choco,5/19/2022," $ 6,440.00 ",141
Husein Augar,India,Eclairs,2/9/2022," $ 4,956.00 ",58
Brien Boise,UK,Spicy Special Slims,5/25/2022," $ 2,352.00 ",58
Oby Sorrel,Australia,Manuka Honey Choco,1/26/2022," $ 3,906.00 ",76
Beverie Moffet,India,White Choc,7/4/2022," $ 1,813.00 ",296
Ches Bonnell,India,Almond Choco,4/13/2022," $ 11,788.00 ",73
Gigi Bohling,Australia,Smooth Sliky Salty,1/25/2022," $ 5,768.00 ",119
Camilla Castle,USA,85% Dark Bars,4/25/2022," $ 2,401.00 ",78
Camilla Castle,USA,Eclairs,6/10/2022," $ 4,515.00 ",392
Madelene Upcott,New Zealand,White Choc,8/22/2022," $ 10,794.00 ",51
Van Tuxwell,India,After Nines,6/27/2022," $ 13,706.00 ",207
Husein Augar,India,Orange Choco,6/30/2022," $ 4,361.00 ",40
Jehu Rudeforth,India,Almond Choco,8/30/2022," $ 10,122.00 ",100
Karlen McCaffrey,Australia,Raspberry Choco,8/23/2022, $ 994.00 ,57
Camilla Castle,New Zealand,99% Dark & Pure,8/26/2022," $ 2,268.00 ",42
Gigi Bohling,Australia,Orange Choco,3/9/2022, $ 574.00 ,156
Kelci Walkden,UK,Drinking Coco,4/20/2022," $ 1,792.00 ",23
Mallorie Waber,Canada,Caramel Stuffed Bars,6/10/2022," $ 4,844.00 ",539
Husein Augar,Australia,Organic Choco Syrup,2/8/2022, $ 938.00 ,158
Brien Boise,Australia,White Choc,8/25/2022," $ 4,879.00 ",22
Dotty Strutley,India,Peanut Butter Cubes,2/16/2022," $ 9,107.00 ",73
Dennison Crosswaite,UK,99% Dark & Pure,5/30/2022," $ 12,187.00 ",27
Gigi Bohling,New Zealand,50% Dark Bites,6/29/2022," $ 5,670.00 ",64
Gigi Bohling,USA,Milk Bars,6/16/2022, $ 476.00 ,133
Brien Boise,UK,Caramel Stuffed Bars,3/4/2022," $ 2,681.00 ",149
Curtice Advani,New Zealand,Peanut Butter Cubes,3/15/2022," $ 1,533.00 ",434
Curtice Advani,New Zealand,50% Dark Bites,1/27/2022," $ 9,765.00 ",85
Beverie Moffet,Canada,Drinking Coco,7/5/2022, $ 994.00 ,118
Barr Faughny,USA,Caramel Stuffed Bars,3/29/2022," $ 3,318.00 ",299
Mallorie Waber,Canada,Almond Choco,5/12/2022," $ 4,214.00 ",35
Oby Sorrel,USA,Drinking Coco,3/11/2022," $ 7,714.00 ",44
Brien Boise,New Zealand,Eclairs,7/11/2022," $ 4,690.00 ",299
Gunar Cockshoot,New Zealand,Choco Coated Almonds,8/1/2022," $ 13,062.00 ",62
Gunar Cockshoot,UK,Spicy Special Slims,2/16/2022," $ 12,488.00 ",200
Curtice Advani,USA,After Nines,4/13/2022," $ 14,147.00 ",235
Oby Sorrel,India,Choco Coated Almonds,2/14/2022, $ 49.00 ,363
Ches Bonnell,Australia,Peanut Butter Cubes,3/14/2022," $ 10,199.00 ",68
Oby Sorrel,Australia,Spicy Special Slims,4/26/2022," $ 11,389.00 ",26
Jehu Rudeforth,Canada,Manuka Honey Choco,4/5/2022," $ 3,584.00 ",200
Camilla Castle,Canada,Drinking Coco,3/3/2022," $ 12,481.00 ",264
